Keyword,Total Item Count
Men,176
Women,315
Rings,454
Men's Rings,453
Women's Rings,768
Earring,2333
Men's Earring,2239
Women's Earring,2554
Male's Earring,304
Diamond,3318
Men's Diamond,2085
Women's Diamond,200
Female's Diamond,2085
Silver,1884
Men's Silver,6176
Women's Silver,313
Male's Silver,1013
Necklaces,1754
Men's Necklaces,1754
Women's Necklaces,5
Male's Necklaces,535
Bracelets,243
Men's Bracelets,238
Women's Bracelets,551
Male's Bracelets,46
Pendant Sets,85
Men's Pendant Sets,431
Women's Pendant Sets,744
Male's Pendant Sets,22
Necklace Sets,190
Men's Necklace Sets,1853
Women's Necklace Sets,2166
Male's Necklace Sets,179
Harams,292
Women's Harams,605
Bangles,241
Men's Bangles,947
Women's Bangles,2
Male's Bangles,53
Accessories,1132
Women's Accessorie,1445
Nose Pins,30
Women's Nose Pins,41
Solitaire,N/A
Men's Solitaire,N/A
Women's Solitaire,313
Gifts,1
Men's Gifts,1
Women's Gifts,314
Men's Gold Coins,713
Women's Gold Coins,1
Male's Gold Coins,50
