Keyword,Total Item Count
Men,987
Women,6234
Rings,2170
Men's Rings,308
Women's Rings,1856
Earring,2270
Men's Earring,73
Women's Earring,2095
Male's Earring,29
Diamond,5638
Men's Diamond,779
Women's Diamond,5062
Female's Diamond,2
Silver,946
Men's Silver,229
Women's Silver,787
Male's Silver,10
Necklaces,496
Men's Necklaces,9
Women's Necklaces,485
Male's Necklaces,6
Bracelets,488
Men's Bracelets,46
Women's Bracelets,401
Male's Bracelets,16
Pendant Sets,420
Men's Pendant Sets,244
Women's Pendant Sets,402
Male's Pendant Sets,8
Necklace Sets,161
Men's Necklace Sets,2
Women's Necklace Sets,160
Male's Necklace Sets,2
Harams,3
Women's Harams,3
Bangles,451
Men's Bangles,26
Women's Bangles,421
Male's Bangles,21
Accessories,130
Women's Accessorie,9
Nose Pins,111
Women's Nose Pins,111
Solitaire,170
Men's Solitaire,13
Women's Solitaire,158
Gifts,1345
Men's Gifts,514
Women's Gifts,929
Men's Gold Coins,107
Women's Gold Coins,430
Male's Gold Coins,3
